Id;beginn;ende;dauer;sender;titel;typ;text;genre_id;fsk;language;weekday;zusatz;wdh;downloadlink;infolink;programlink;
5517046;04.11.2011 19:00:00;05.11.2011 01:00:00;360;EURONEWS;Nachrichten und Analysen;; Nachrichten Economia Europa Europeans Sport Le Mag;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517046;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA0Ng==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA0Ng==;
5534233;04.11.2011 19:00:00;04.11.2011 20:00:00;60;IMUSIC;Streesoul;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5534233;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNDIzMw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNDIzMw==;
5517053;04.11.2011 19:00:00;04.11.2011 19:25:00;25;KIKA;Wickie und die starken Maenner;Zeichentrickserie;Zeichentrickserie Oesterreich Japan Deutschland 1972 Folge 11, Die rotaeugigen Riesen;8516;;de;Fri;Zeichentrickserie Oesterreich Japan Deutschland 1972 Folge 11;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517053;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA1Mw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA1Mw==;
5517067;04.11.2011 19:00:00;04.11.2011 20:00:00;60;KTV;Welche Werte braucht unser Land;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517067;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2Nw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2Nw==;
5517061;04.11.2011 19:00:00;04.11.2011 19:30:00;30;MDR;MDR regional;Regional-Magazin; SachsenSpiegel Sachsen Anhalt heute Thueringen Journal;2120;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517061;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2MQ==;
5517047;04.11.2011 19:00:00;04.11.2011 19:05:00;5;N24;Nachrichten;2 min;2 min;-1;;de;Fri;2 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517047;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA0Nw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA0Nw==;
5517048;04.11.2011 19:00:00;04.11.2011 19:05:00;5;NTV;Nachrichten;Nachrichten;;2235;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517048;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA0OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA0OA==;
5517062;04.11.2011 19:00:00;04.11.2011 19:30:00;30;ORF2;Bundesland heute;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517062;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2Mg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2Mg==;
5517063;04.11.2011 19:00:00;04.11.2011 19:30:00;30;ORF2E;BUNDESLAND HEUTE;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517063;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2Mw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2Mw==;
5517068;04.11.2011 19:00:00;04.11.2011 20:00:00;60;RTL2;Berlin Tag und Nacht;Soap;Soap Deutschland 2011 44 min Folge 40;5311;;de;Fri;Soap Deutschland 2011 44 min Folge 40;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517068;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA2OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA2OA==;
